,team_api_id,buildUpPlaySpeed,buildUpPlayDribbling,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth
266,8529,67,32,35,69,58,69,65,65,57
268,7788,43,36,57,46,50,38,42,49,47
274,8344,60,41,67,52,56,46,33,41,39
276,208931,80,45,65,70,40,50,25,55,35
282,8530,70,52,48,53,52,36,31,64,52
288,9910,55,59,38,41,48,50,55,55,59
294,9925,54,49,53,51,51,62,58,55,56
300,9984,53,49,43,52,58,42,59,47,62
306,9880,66,31,41,53,44,66,39,49,57
312,8455,67,41,36,41,34,44,39,41,46
318,8533,66,54,67,52,66,52,46,59,51
324,8342,42,52,45,42,57,47,51,50,57
330,7869,53,40,48,55,59,57,38,39,52
335,2186,37,50,38,66,66,33,59,34,64
341,9826,61,45,67,67,69,50,36,34,41
342,8262,59,43,77,52,77,45,32,56,41
350,9783,53,55,47,38,52,55,45,50,59
356,9836,51,54,49,49,52,52,45,46,58
358,8284,47,47,48,32,61,65,50,44,52
364,9938,60,58,53,55,49,45,48,42,53
367,8372,62,51,52,59,55,52,37,56,49
371,9776,66,44,54,62,59,51,57,47,53
377,9810,51,41,38,47,58,40,48,42,55
383,10268,51,52,48,53,54,57,49,51,58
389,8534,66,43,36,59,64,63,46,66,48
400,8558,50,52,44,52,60,40,37,40,45
403,7842,59,56,52,47,53,39,46,49,55
410,8668,43,45,40,39,33,63,52,58,59
415,4087,58,35,56,52,61,51,47,43,50
418,10218,53,41,69,48,45,43,29,41,36
425,8722,59,47,65,57,36,71,42,56,51
426,6631,39,33,62,62,66,48,51,58,55
432,8674,55,32,55,57,59,54,49,47,53
438,9773,70,50,53,56,66,68,58,60,60
444,9908,50,39,54,55,64,28,54,58,47
445,9824,53,32,56,38,53,46,42,33,58
451,10243,62,49,46,47,50,54,47,43,56
457,10235,50,33,48,48,67,31,43,46,40
463,8535,34,54,33,68,51,53,58,59,61
469,8194,47,62,47,55,68,55,56,57,52
475,8358,59,54,38,55,44,45,53,62,29
478,9891,63,48,46,51,50,50,55,57,47
484,9879,52,34,48,39,54,59,29,30,39
490,9987,58,52,38,30,69,56,36,57,70
496,10233,64,52,68,66,45,23,27,47,53
502,9991,50,55,37,42,66,34,49,54,52
508,8305,34,41,38,55,39,49,43,42,49
510,6391,48,53,52,55,53,55,42,46,53
514,9764,68,67,41,54,47,46,39,40,53
519,8569,52,48,43,52,37,50,47,45,40
521,6433,58,38,64,37,42,52,43,47,51
522,8019,41,40,59,41,44,54,52,47,50
529,7878,57,50,59,61,63,51,48,45,62
535,9956,50,60,54,52,54,46,36,43,47
543,8357,54,60,53,54,49,46,48,56,66
548,9747,63,37,58,42,56,36,49,47,49
554,9790,42,56,52,62,58,47,44,41,49
557,8429,48,48,47,73,53,71,55,48,52
563,9904,48,55,41,38,51,40,35,50,61
574,9791,50,36,61,48,58,59,60,62,47
585,8177,47,44,55,59,68,45,50,45,57
596,8226,69,49,53,66,62,59,63,61,38
602,8667,56,40,55,54,49,56,38,37,46
607,8234,55,51,46,47,53,51,37,48,49
613,8636,58,69,54,56,60,53,47,49,63
618,8066,48,47,32,57,48,69,44,44,51
624,1957,66,54,38,53,33,66,57,56,49
630,9885,50,35,20,65,50,80,35,65,35
636,8350,49,54,52,49,54,64,41,51,53
641,8295,54,52,47,53,44,49,34,46,39
647,8597,50,48,60,49,62,47,46,46,52
653,8245,59,69,50,64,53,36,30,43,62
659,8571,42,40,47,37,67,30,46,45,52
665,8203,52,42,40,47,53,50,42,51,52
671,8306,48,55,44,53,42,53,53,39,57
681,8543,68,65,55,68,80,72,59,66,65
687,9746,46,56,52,49,54,52,47,55,52
700,2182,57,50,40,59,70,67,50,58,45
706,8030,62,48,52,66,59,58,51,58,40
712,8673,54,47,36,52,51,64,50,60,58
718,8197,63,41,60,47,64,46,58,65,55
725,8588,64,44,50,49,53,46,46,44,49
731,8581,62,36,65,71,42,65,36,33,42
736,9989,69,44,58,56,52,61,38,49,65
742,8639,45,36,43,68,52,64,59,42,48
748,8650,66,60,45,34,34,46,51,52,61
754,8537,58,58,67,38,27,69,31,57,38
764,9994,62,45,52,42,50,62,45,52,52
770,8689,57,42,50,48,53,46,51,56,55
776,10199,63,51,51,54,40,66,48,53,50
782,9748,49,60,52,49,54,67,46,47,47
788,9905,60,43,53,49,40,44,55,62,47
794,9864,42,51,36,41,40,50,47,37,52
800,8661,62,53,57,53,57,53,59,41,56
806,8456,59,35,29,38,36,24,48,47,54
812,10260,38,42,44,49,44,40,54,53,56
818,10212,61,49,66,67,64,55,38,49,46
824,8592,51,77,41,49,69,31,48,48,60
829,8550,55,48,49,46,54,53,39,46,42
835,8549,60,32,46,43,55,37,38,42,42
841,9829,52,42,43,54,56,23,56,62,51
850,10249,54,43,65,48,49,45,53,56,48
852,8348,38,58,43,51,54,39,44,46,48
858,9927,64,46,55,44,45,27,37,44,51
859,274581,50,50,50,50,50,50,45,45,50
860,9996,50,50,50,50,50,50,45,45,50
867,9761,45,49,59,32,42,54,36,39,40
873,10214,65,59,43,53,44,53,42,42,57
879,8481,49,48,49,52,53,67,43,46,50
885,9830,63,70,56,52,55,46,39,41,52
898,10261,58,45,49,47,54,46,41,39,51
904,9831,48,55,53,49,66,38,57,47,61
910,9850,45,38,55,46,54,47,38,39,51
920,8165,46,58,49,51,52,59,30,40,44
926,8388,44,48,45,54,41,57,50,46,62
934,8573,52,49,54,45,42,53,42,47,44
940,8371,38,53,52,55,59,54,47,52,69
949,6403,63,40,39,64,53,52,36,39,64
955,8460,67,46,62,56,48,56,25,29,54
961,8540,66,66,36,60,34,64,44,58,50
967,9847,49,47,34,62,61,35,57,53,56
973,10167,48,66,33,69,62,45,43,43,46
975,8426,48,48,47,47,53,60,46,46,49
978,6413,45,35,56,57,50,58,58,60,63
979,6547,54,54,39,52,56,38,40,35,46
984,9878,64,31,53,41,49,41,39,46,43
988,8028,64,52,67,64,66,39,36,45,48
992,8033,68,55,66,66,51,49,29,35,38
995,8023,50,33,36,52,40,52,57,54,47
1007,8462,59,32,57,49,47,53,39,40,44
1013,8640,67,43,43,53,44,28,40,40,48
1019,10172,30,39,61,53,53,60,50,44,54
1024,8696,48,52,47,53,53,53,51,47,53
1030,8548,45,53,55,38,62,53,48,48,55
1036,8370,29,52,44,44,44,47,54,52,63
1042,9798,44,36,64,62,65,42,51,47,52
1048,8603,59,49,37,59,43,53,58,49,58
1054,8633,50,57,46,61,41,63,52,60,63
1060,8560,60,52,50,54,60,52,49,53,53
1066,8479,37,38,43,30,42,37,40,49,54
1076,9837,48,37,49,48,52,58,33,44,50
1082,9851,64,62,41,49,52,64,46,44,51
1088,7841,66,47,44,58,65,54,39,48,66
1109,8686,68,27,47,71,54,66,36,57,48
1112,8649,45,48,60,46,49,58,36,53,34
1118,1601,47,48,38,61,65,50,43,44,49
1124,9853,58,55,52,48,64,52,48,51,49
1130,9882,36,56,38,49,52,29,50,51,53
1136,7943,57,65,60,56,57,56,38,47,53
1141,7794,61,61,52,56,51,49,44,55,48
1147,10228,54,40,56,65,43,44,46,44,48
1153,10189,58,43,42,64,61,37,55,59,56
1162,8302,53,53,53,53,52,60,42,48,59
1168,10179,61,57,37,62,50,53,45,47,54
1174,8025,50,55,35,51,51,55,45,55,39
1180,9874,63,62,39,63,64,49,54,43,49
1186,8466,52,31,46,42,54,30,50,65,44
1192,9986,60,47,53,48,50,48,39,48,49
1198,9768,57,65,56,42,50,55,60,60,54
1204,9869,55,48,50,62,59,38,45,54,41
1210,9875,53,70,37,68,54,67,47,57,53
1215,10190,52,46,48,39,39,37,40,36,52
1221,9800,38,53,33,53,58,53,60,58,48
1227,8152,52,52,56,62,53,38,39,44,57
1233,8467,62,52,48,47,49,40,37,48,55
1242,9985,54,45,62,55,58,60,45,54,52
1248,10194,48,41,49,51,59,49,44,37,51
1254,8472,43,43,51,59,50,55,47,45,49
1260,10003,45,44,42,34,36,55,31,47,42
1264,9867,56,50,57,56,51,54,52,50,69
1269,10191,58,59,35,64,36,66,47,45,53
1275,9804,69,69,36,37,69,53,39,46,52
1281,8586,47,46,40,41,41,63,63,54,56
1287,9941,49,56,53,52,34,36,36,45,49
1292,10242,49,48,51,52,49,46,43,42,52
1298,8611,48,40,43,43,58,39,44,41,55
1304,8600,68,54,63,69,68,52,40,57,57
1313,10267,35,46,35,37,51,58,49,45,53
1319,9873,49,59,52,51,67,56,47,51,46
1325,10281,43,40,65,39,51,57,47,40,47
1329,9876,57,29,38,39,54,55,47,59,52
1335,10269,59,55,41,58,66,48,41,44,32
1341,10205,48,42,36,36,52,55,47,48,44
1347,8277,57,40,48,53,37,71,60,58,62
1353,7844,40,52,39,53,62,58,37,40,64
1359,10238,58,49,42,54,52,52,37,37,58
1366,8475,38,45,49,45,42,53,27,32,35
1372,9817,61,32,52,54,42,45,38,52,45
1378,8697,56,55,63,68,66,58,63,47,73
1384,8659,62,32,51,53,50,60,41,40,49
1390,8654,77,37,57,68,73,29,30,37,41
1394,10001,52,46,50,57,55,32,48,45,53
1404,8528,51,37,56,52,59,40,62,48,44
1408,8525,51,36,63,48,53,52,43,45,47
1414,10265,33,49,37,33,37,31,62,58,37
1420,8721,68,45,57,69,66,50,66,46,55
1426,8602,46,36,54,55,47,48,47,48,55
1439,10192,52,56,64,39,66,46,44,34,50
1450,8394,52,52,50,52,56,57,48,43,49
1452,8027,54,51,40,46,49,52,44,47,52
1458,10000,54,42,51,47,52,32,44,58,37
